"itemId","名称","成功率","效果","状态","备注"
"2040001","头盔防御卷轴","60%","物理防御+2，魔法防御+1","本次新增",""
"2040002","头盔防御卷轴","10%","物理防御+5，魔法防御+3，命中+1","原商店已有",""
"2040004","头盔体力卷轴","60%","最大HP+10","本次新增",""
"2040005","头盔体力卷轴","10%","最大HP+30","原商店已有",""
"2040008","头盔防御诅咒卷轴","70%","物理防御+2，魔法防御+1，失败破坏率 50%","本次新增",""
"2040009","头盔防御诅咒卷轴","30%","物理防御+5，魔法防御+3，失败破坏率 50%，命中+1","本次新增",""
"2040010","头盔体力诅咒卷轴","70%","最大HP+10，失败破坏率 50%","本次新增",""
"2040011","头盔体力诅咒卷轴","30%","最大HP+30，失败破坏率 50%","本次新增",""
"2040012","头盔智力卷轴","70%","失败破坏率 50%，智力+2","本次新增",""
"2040013","头盔智力卷轴","30%","失败破坏率 50%，智力+3","本次新增",""
"2040014","头盔命中率诅咒卷轴70%","70%","失败破坏率 50%，敏捷+1，命中+2","本次新增",""
"2040015","头盔命中率诅咒卷轴30%","30%","失败破坏率 50%，敏捷+2，命中+4","本次新增",""
"2040016","头盔命中率卷轴10%","","命中+4，敏捷+2","原商店已有",""
"2040017","头盔命中率卷轴60%","60%","敏捷+1，命中+2","本次新增",""
"2040019","头盔防御卷轴","65%","物理防御+2，魔法防御+1","本次新增",""
"2040020","头盔防御卷轴","15%","物理防御+5，魔法防御+3，命中+1","本次新增",""
"2040021","头盔体力卷轴","65%","最大HP+10","本次新增",""
"2040022","头盔体力卷轴","15%","最大HP+30","本次新增",""
"2040023","圣诞鹿之角专用卷轴","60%","魔法攻击+1，物理攻击+1","本次新增",""
"2040025","头盔智力卷轴","60%","智力+2","本次新增",""
"2040026","头盔智力卷轴","10%","智力+3","原商店已有",""
"2040028","头盔敏捷卷轴","70%","敏捷+2，失败破坏率 50%","本次新增",""
"2040029","头盔敏捷卷轴","60%","敏捷+2","本次新增",""
"2040030","头盔敏捷卷轴","30%","敏捷+3，失败破坏率 50%","本次新增",""
"2040031","头盔敏捷卷轴","10%","敏捷+3","原商店已有",""
"2040043","头盔敏捷卷轴65%","65%","敏捷+2","本次新增",""
"2040044","头盔敏捷卷轴15%","15%","敏捷+3","本次新增",""
"2040045","头盔防御卷轴50%","50%","物理防御+5，魔法防御+4","本次新增",""
"2040046","头盔体力卷轴50%","50%","最大HP+35","本次新增",""
"2040100","脸部装饰生命卷轴10%","10%","最大HP+30","原商店已有",""
"2040101","脸部装饰生命卷轴60%","60%","最大HP+15","本次新增",""
"2040103","脸部装饰生命诅咒卷轴30%","30%","失败破坏率 50%，最大HP+30","本次新增",""
"2040104","脸部装饰生命诅咒卷轴70%","70%","失败破坏率 50%，最大HP+15","本次新增",""
"2040105","脸部装饰回避率卷轴10%","10%","回避+2，敏捷+2","原商店已有",""
"2040106","脸部装饰回避率卷轴60%","60%","回避+1，敏捷+1","本次新增",""
"2040108","脸部装饰回避率诅咒卷轴30%","30%","失败破坏率 50%，回避+2，敏捷+2","本次新增",""
"2040109","脸部装饰回避率诅咒卷轴70%","70%","失败破坏率 50%，回避+1，敏捷+1","本次新增",""
"2040110","红鼻子创口贴(力量)60%","60%","力量+1，timeLimited+1","本次新增",""
"2040111","红鼻子创口贴(敏捷)60%","60%","敏捷+1，timeLimited+1","本次新增",""
"2040112","红鼻子创口贴(智力)60%","60%","智力+1，timeLimited+1","本次新增",""
"2040113","红鼻子创口贴(运气)60%","60%","运气+1，timeLimited+1","本次新增",""
"2040114","红鼻子创口贴(攻击力)60%","60%","物理攻击+1，timeLimited+1","本次新增",""
"2040115","红鼻子创口贴(物理防御)60%","60%","物理防御+1，timeLimited+1","本次新增",""
"2040116","红鼻子创口贴(魔法力)60%","60%","魔法攻击+1，timeLimited+1","本次新增",""
"2040117","红鼻子创口贴(魔法防御)60%","60%","魔法防御+1，timeLimited+1","本次新增",""
"2040118","红鼻子创口贴(回避率)60%","60%","回避+1，timeLimited+1","本次新增",""
"2040119","红鼻子创口贴(命中率)60%","60%","命中+1，timeLimited+1","本次新增",""
"2040200","眼部装饰命中率卷轴10%","10%","命中+3，敏捷+1","原商店已有",""
"2040201","眼部装饰命中率卷轴60%","60%","命中+2","本次新增",""
"2040203","眼部装饰命中率诅咒卷轴30%","30%","失败破坏率 50%，命中+3，敏捷+1","本次新增",""
"2040204","眼部装饰命中率诅咒卷轴70%","70%","失败破坏率 50%，命中+2","本次新增",""
"2040205","眼部装饰智力卷轴10%","10%","智力+3，魔法防御+2","原商店已有",""
"2040206","眼部装饰智力卷轴60%","60%","智力+1，魔法防御+1","本次新增",""
"2040208","眼部装饰智力诅咒卷轴30%","30%","失败破坏率 50%，智力+3，魔法防御+2","本次新增",""
"2040209","眼部装饰智力诅咒卷轴70%","70%","失败破坏率 50%，智力+1，魔法防御+1","本次新增",""
"2040301","耳环智力卷轴","60%","魔法攻击+2，智力+1","本次新增",""
"2040302","耳环智力卷轴","10%","魔法攻击+5，智力+3，魔法防御+1","原商店已有",""
"2040304","耳环智力诅咒卷轴","70%","魔法攻击+2，智力+1，失败破坏率 50%","本次新增",""
"2040305","耳环智力诅咒卷轴","30%","魔法攻击+5，智力+3，魔法防御+1，失败破坏率 50%","本次新增",""
"2040306","耳环敏捷卷轴","70%","失败破坏率 50%，敏捷+2","本次新增",""
"2040307","耳环敏捷卷轴","30%","失败破坏率 50%，敏捷+3","本次新增",""
"2040308","耳环防御力诅咒卷轴70%","70%","失败破坏率 50%，物理防御+1，魔法防御+1","本次新增",""
"2040309","耳环防御力诅咒卷轴30%","30%","失败破坏率 50%，物理防御+3，魔法防御+3，命中+1","本次新增",""
"2040310","耳环防御力卷轴10%","10%","魔法防御+3，命中+1","原商店已有",""
"2040311","耳环防御力卷轴60%","60%","魔法防御+1","本次新增",""
"2040313","耳环智力卷轴","65%","魔法攻击+2，智力+1","本次新增",""
"2040314","耳环智力卷轴","15%","魔法防御+1，魔法攻击+5，智力+3","本次新增",""
"2040315","【4周年】耳环智力卷轴","40%","魔法攻击+3，智力+2，失败破坏率 30%","本次新增",""
"2040317","耳环敏捷卷轴","60%","敏捷+2","本次新增",""
"2040318","耳环敏捷卷轴","10%","敏捷+3","原商店已有",""
"2040320","耳环运气卷轴","70%","运气+2，失败破坏率 50%","本次新增",""
"2040321","耳环装饰运气卷轴","60%","运气+2","本次新增",""
"2040322","耳环装饰运气卷轴","30%","运气+3，失败破坏率 50%","本次新增",""
"2040323","耳环运气卷轴","10%","运气+3","原商店已有",""
"2040325","耳环装饰体力卷轴 ","70%","最大HP+15，失败破坏率 50%","本次新增",""
"2040326","耳环装饰体力卷轴 ","60%","最大HP+15","本次新增",""
"2040327","耳环装饰体力卷轴 ","30%","最大HP+30，失败破坏率 50%","本次新增",""
"2040328","耳环装饰体力卷轴 ","10%","最大HP+30","原商店已有",""
"2040329","耳环敏捷卷轴","10%","敏捷+3","本次新增",""
"2040330","耳环智力卷轴","10%","智力+3，魔法攻击+5，魔法防御+1","本次新增",""
"2040331","耳环运气卷轴","10%","运气+3","本次新增",""
"2040333","耳环智力卷轴50%","50%","魔法攻击+5，智力+3，魔法防御+2","本次新增",""
"2040335","耳环装饰敏捷卷轴65%","65%","敏捷+2","本次新增",""
"2040336","耳环装饰敏捷卷轴15%","15%","敏捷+3","本次新增",""
"2040337","耳环装饰运气卷轴65%","65%","运气+2","本次新增",""
"2040338","耳环装饰运气卷轴15%","15%","运气+3","本次新增",""
"2040339","耳环装饰体力卷轴65%","65%","最大HP+15","本次新增",""
